price;city;neighborhood;bedrooms;garage
198000.0;fazenda rio grande;eucaliptos;2;1
205000.0;fazenda rio grande;eucaliptos;2;1
196000.0;fazenda rio grande;eucaliptos;2;1
230000.0;araucária;estação;3;1
255000.0;curitiba;novo mundo;3;1
305000.0;araucária;centro;2;1
165000.0;curitiba;alto boqueirão;2;1
185000.0;são josé dos pinhais;boneca do iguacu;2;1
1750000.0;curitiba;água verde;4;3
144000.0;curitiba;rebouças;1;
1290000.0;curitiba;jardim botânico;3;3
215000.0;curitiba;boqueirão;2;1
1755000.0;curitiba;água verde;3;3
713720.0;curitiba;portão;3;2
732300.0;curitiba;água verde;2;2
199000.0;curitiba;centro;2;
235900.0;curitiba;bairro alto;2;1
530000.0;curitiba;cabral;3;1
1350000.0;curitiba;seminário;3;2
145000.0;fazenda rio grande;nações;2;
440000.0;curitiba;água verde;3;1
530000.0;curitiba;bigorrilho;3;1
700000.0;curitiba;bigorrilho;3;2
3600000.0;curitiba;ecoville;3;4
1900000.0;curitiba;cabral;3;3
1790000.0;curitiba;ecoville;3;2
1490000.0;curitiba;bigorrilho;3;2
140000.0;curitiba;fazendinha;2;1
140000.0;curitiba;fazendinha;2;1
155000.0;curitiba;fazendinha;2;1
1490000.0;curitiba;bigorrilho;3;2
175000.0;curitiba;centro;1;0
165000.0;curitiba;centro;1;1
190000.0;curitiba;novo mundo;2;1
720000.0;curitiba;ahú;3;2
125000.0;curitiba;campo santana;2;1
668000.0;curitiba;batel;;
933100.0;curitiba;centro;3;1
